name,address
봉봉스테이션 영종도점, 인천광역시 중구 하늘달빛로 90-7
봉봉스테이션 동탄솔밭나루점, 경기도 화성시 동탄솔빛로 52 금탑프라자
봉봉스테이션 증산점, 경상남도 양산시 물금읍 야리로 110 111,112호
봉봉스테이션연산점, 부산광역시 연제구 고분로13번길 25 1층 108호
봉봉스테이션 화명점, 부산광역시 북구 화명신도시로 129 . 1층 105호
봉봉스테이션 익산영등점, 전북특별자치도 익산시 하나로11길 31-1
봉봉스테이션 연산점, 부산광역시 연제구 고분로13번길 25
봉봉스테이션 전주객사점, 전북특별자치도 전주시 완산구 전주객사5길 27
봉봉스테이션 대구대곡점, 대구광역시 달서구 도원로 24
봉봉스테이션솔빛나루점, 경기도 화성시 동탄솔빛로 52
봉봉스테이션 양산점, 경상남도 양산시 양산역1길 18 1층 105호
봉봉스테이션 사직점, 부산광역시 동래구 사직북로 4 1층 109호, 124호
봉봉스테이션 하양점, 경상북도 경산시 하양읍 하양로 57
잇템오락실, 서울특별시 서대문구 연세로 10 1층
뽑아핑, 서울특별시 종로구 돈화문로 45 1층
뽑아핑 약수점, 서울특별시 중구 동호로 196 1층
뽑아핑 이태원점, 서울특별시 용산구 이태원로20길 7
뽑아핑 한양대점, 서울특별시 성동구 마조로 17 47호
뽑아핑 외대점, 서울특별시 동대문구 휘경로 5 1층
뽑아핑 파주야당점, 경기도 파주시 경의로 1042 더진빌딩 102호
뽑아핑 서귀포점, 제주특별자치도 서귀포시 중앙로59번길 6 1층 103호
피규어인형뽑기, 서울특별시 중랑구 봉우재로33길 41
뽑기왕 원마운트점, 경기도 고양시 일산서구 한류월드로 300 1층 1154호
캑티 가챠샵 종각점, 서울특별시 종로구 종로12길 9 1~2층
스미스인형뽑기, 인천광역시 남동구 문화로 85 1층 2호
못된강아지인형뽑기, 인천광역시 부평구 마장로 437
달콤뽑기, 서울특별시 강서구 가로공원로76길 107 백림상가 1층
맨하탄뽑기, 경기도 남양주시 다산중앙로123번길 7-34 한강타워 101호
김포뽑기, 경기도 김포시 김포한강9로75번길 22 폴리프라자2 101호
뽑기데이트 동탄역점, 경기도 화성시 동탄역로 102 1층 1033호
지지코믹마켓, 경기도 의정부시 호국로1298번길 56 지하층
주안가챠샵, 인천광역시 미추홀구 주안로 86 주안역지하상가 288호
갓챠겟챠 송리단길점, 서울특별시 송파구 백제고분로45길 17 1층 101호
갓챠겟챠 성남복정점, 경기도 성남시 수정구 복정로 66 102호
오 뽑기 율량점, 충청북도 청주시 청원구 1순환로 140 104호
뽑기치트, 경상남도 양산시 양주4길 15-1 1층
대박뽑기 2호점, 경상북도 김천시 혁신1로 81 한신휴시티오피스텔 119호
뽑기flex, 전북특별자치도 완주군 이서면 기지로 50
뽑기야놀자 구미비산점, 경상북도 구미시 비산로5길 15
오 뽑기 용암점, 충청북도 청주시 상당구 월평로184번길 150 오 뽑기 용암점
캑티 가챠샵 홍대점, 서울특별시 마포구 어울마당로 62
뽀꼬팡, 서울특별시 동대문구 답십리로1길 10 102동 1층 111호
캑티 가챠샵 수유점, 서울특별시 강북구 한천로139길 42
퍼니랜드 영등포점, 서울특별시 영등포구 영신로19길 10 1층
캑티 가챠샵 건대점, 서울특별시 광진구 아차산로 219 1층 102호
캑티 가챠샵 천호점, 서울특별시 강동구 천호대로157길 11 캑티 가챠샵 천호점
인형뽀끼, 경상남도 사천시 벌리로 56
캑티 가챠샵 잠실새내점, 서울특별시 송파구 백제고분로7길 24 1층
뽑get몬, 경기도 남양주시 덕송2로6번길 28-21 104호
캑티 가챠샵 은계점, 경기도 시흥시 은계번영길 11
캑티 가챠샵 화정점, 경기도 고양시 덕양구 화신로272번길 58 1층 103-2호
우와 뽑기방, 인천광역시 연수구 벚꽃로 114 1층 111호(연수동, 브랫슬)
캑티 가챠샵 미사점, 경기도 하남시 미사강변동로 95 1층 1077호
캑티 가챠샵 서현점, 경기도 성남시 분당구 서현로210번길 17 1층
드림월드 중동점, 경기도 부천시 원미구 소향로 248 1층 105호
소풍뽑챠, 인천광역시 남동구 소래역로18번길 15 104-1호
뽑아가브러, 광주광역시 광산구 임방울대로826번길 19-25 스타빌 1층 상가
뽑스, 강원특별자치도 원주시 능라동길 72 1층 109호
으라차챠 한옥마을점, 전북특별자치도 전주시 완산구 태조로 18
가챠샵 포항점, 경상북도 포항시 북구 중앙상가길 28-2
뽀바뽀바뽑기방, 전북특별자치도 군산시 구암3.1로 30 메트로2차 상가A동 1층 106-2호 뽀바뽀바 뽑기방
으라차챠 충장로점, 광주광역시 동구 중앙로160번길 15-2 1층 A칸
캐칭덕 화명점, 부산광역시 북구 화명신도시로 130 104호
동네오락실 뽑기방 내포점, 충청남도 홍성군 홍북읍 청사로174번길 9 1층
탱크오락실, 충청북도 청주시 상당구 중고개로141번길 13-16 119,120호
