Id,name,cleaned
c04c1280,TOP인형뽑기,서울특별시 강북구 삼양로27길 43 위브 테라스 파크
8298431a,탑인형뽑기 부평점,인천광역시 부평구 부평대로12번길 10
d2bb7587,탑인형뽑기 수원역점,경기도 수원시 팔달구 향교로 57
625a61aa,TOP뽑기,대구광역시 달서구 야외음악당로39길 72
46fb907e,TOP인형뽑기 송탄점,경기도 평택시 관광특구로 37 1층
6d236561,탑인형뽑기,울산광역시 동구 봉수로 329
33d3d8a5,봉봉스테이션,인천광역시 서구 가정동 618-6
8cb6f877,봉봉스테이션,경기도 광명시 철산동 411
036ae457,봉봉스테이션,인천광역시 미추홀구 주안동 141-5
2b3c9409,봉봉스테이션,서울특별시 성북구 동소문로22길 19
d0b1e2ed,봉봉스테이션,경기도 용인시 처인구 명지로60번길 8-4
e71aa6da,봉봉스테이션,서울특별시 노원구 노해로81길 16 
28a353b6,봉봉스테이션,경기도 김포시 김포한강9로 95
f01fa4e0,봉봉스테이션 신촌점,서울특별시 서대문구 연세로 6
290076e9,봉봉스테이션,충청북도 청주시 상당구 중고개로141번길 11-6
3838d4a1,봉봉스테이션,울산광역시 남구 삼산로277번길 8
6198b713,봉봉스테이션,충청북도 청주시 청원구 상당로 239
d560e715,봉봉스테이션,부산광역시 중구 광복로 44
4c430cff,봉봉스테이션,대구광역시 수성구 수성못길 12
b1ec7701,봉봉스테이션,경상북도 구미시 옥계북로 22
9ed4a66b,봉봉스테이션,울산광역시 남구 왕생로40번길 31
f286fba9,봉봉스테이션,부산광역시 남구 용소로13번길 17
52c65915,봉봉스테이션 인천삼산점,인천광역시 부평구 체육관로 32
bb3200e7,봉봉스테이션 영종도점,인천광역시 중구 하늘달빛로 90-7
7b74cc06,봉봉스테이션 동탄솔밭나루점,경기도 화성시 동탄솔빛로 52
8723e31e,봉봉스테이션 증산점,경상남도 양산시 물금읍 야리로 110 
821ba950,봉봉스테이션 연산점,부산광역시 연제구 고분로13번길 25 
18c3d4e2,봉봉스테이션 화명점,부산광역시 북구 화명신도시로 129
aaa34bf1,봉봉스테이션 익산영등점,전북특별자치도 익산시 하나로11길 31-1
a72ddcb3,봉봉스테이션 연산점,부산광역시 연제구 고분로13번길 25
3aa24e67,봉봉스테이션 전주객사점,전북특별자치도 전주시 완산구 전주객사5길 27
cc42e680,봉봉스테이션 대구대곡점,대구광역시 달서구 도원로 24
